recommendation1,recommendation2,recommendation3
1074,207,140
535,1043,508
1631,1265,1108
872,115,1254
830,1178,1196
1986,1966,869
1912,1520,262
1228,866,1893
345,1327,1705
1809,422,1363
1956,1949,144
637,812,1488
1072,1949,1494
964,485,841
1944,757,179
1059,1595,1712
32,1864,875
971,943,1483
216,1789,1742
35,1927,1520
563,1515,628
107,802,442
802,825,94
1330,1961,1990
203,1515,1705
1330,737,262
952,1071,138
1829,3,501
1960,1535,971
1889,1826,589
671,1066,1068
1654,307,1081
1535,90,1028
349,508,1127
764,1806,1726
121,493,1830
1977,1054,922
493,167,546
1743,269,1984
1960,245,1376
1934,220,1244
1925,1284,1035
1925,1284,1035
686,74,1178
1928,1480,1949
1927,353,501
1477,1744,469
1825,1224,411
1058,1913,1370
356,1893,175
1533,1803,1934
1458,1905,244
421,919,1723
872,1960,225
1134,741,942
309,527,99
1385,595,1026
1911,1284,1580
1052,538,349
1134,741,687
247,1376,1950
983,937,74
1793,1501,611
251,2023,663
501,1956,1829
1776,700,1782
1927,1893,605
247,940,263
1389,26,1494
1429,1610,895
345,309,870
1776,527,99
201,273,873
1893,443,1947
1012,1028,1598
870,1133,1809
115,318,1914
742,872,971
763,1829,276
467,1231,628
131,288,1284
1778,1727,74
1450,1052,501
442,1986,501
501,1370,377
1072,1932,356
2003,1456,1072
1133,872,1007
336,680,930
34,291,300
1583,1456,834
967,1043,1089
1601,292,1960
1696,701,789
1843,741,83
751,83,1595
1960,1738,1131
1361,563,1049
1738,581,1376
1532,663,1375
1782,904,1948
398,1829,1450
1595,1254,289
501,1829,1966
1024,1106,1986
119,1096,1717
312,318,728
1237,702,356
1532,628,1943
1829,3,378
200,1658,1782
974,1698,622
1000,1287,1949
171,973,1718
1984,1252,1595
273,175,611
1533,1585,1026
228,581,972
217,624,259
119,235,562
1969,750,1072
0,2040,261
587,309,1069
795,1254,310
421,2013,992
1438,837,699
558,621,1595
501,1553,1965
2071,347,341
1965,1052,1825
288,0,165
172,2022,939
318,312,1067
1126,919,1803
671,1026,1370
1934,1720,1965
2019,1094,1284
1443,1501,624
1284,1376,348
1583,986,1456
1946,663,1021
172,1556,663
362,930,929
1991,223,1532
1948,414,348
790,249,907
515,513,1586
353,1889,1377
243,1966,244
2104,924,923
1376,2054,249
1701,1555,1143
701,1178,1376
481,1284,1205
1532,667,1541
2100,825,767
1657,194,1813
2004,1376,1442
336,712,228
1067,1059,1386
757,1748,1928
2073,1429,1449
1803,1009,1504
761,288,1178
185,967,220
1961,2012,1774
1133,1059,1953
1387,1503,1250
318,839,1100
1700,1651,1595
1977,1652,1061
1808,493,87
150,1386,481
1958,481,1942
160,35,703
288,1518,1205
353,1623,1911
247,1943,921
167,261,2054
515,997,817
972,215,193
681,1585,1730
698,1963,76
659,687,772
942,1284,1924
1136,234,1585
74,822,524
1059,1035,1133
2011,347,341
1969,1664,1663
2044,1429,1449
1752,262,758
335,476,1133
1493,1980,1361
2077,1963,348
2077,1963,348
115,991,1370
2080,1700,1960
1572,299,2095
266,284,1931
1178,1726,1499
352,1384,1752
1378,382,1832
1971,484,259
914,984,668
1558,795,941
712,828,829
292,1150,1991
442,377,729
501,1370,1928
249,1830,1918
194,234,627
963,411,1432
1900,1911,1960
1893,9,1806
1991,1532,181
1748,1934,244
2038,767,825
1905,84,1966
872,115,3
1984,1254,1595
2032,923,924
2080,1700,1960
99,911,789
1960,1366,701
94,1533,1913
879,1990,773
1789,115,525
